DataHora,TempoGasto,WIDTH,HEIGHT,MAX_ITER,RE_MIN,RE_MAX,IM_MIN,IM_MAX,Machine,Code,Schedule,ChunkSize,Threads
2026-09-22 21:05:47,20.7029,8192,8192,1000,-2,1,-1.5,1.5,Unknown,paralelo,dynamic,1,4
2026-09-22 21:06:56,20.2291,8192,8192,1000,-2,1,-1.5,1.5,Unknown,paralelo,dynamic,1,4
2026-09-22 21:11:42,84.4999,16384,16384,1000,-2,1,-1.5,1.5,Unknown,paralelo,dynamic,1,4
2026-09-22 21:16:33,14.068,4096,4096,1000,-2,1,-1.5,1.5,deCasa,ponto_a_ponto,N/A,N/A,1
2026-09-22 21:16:56,13.6071,4096,4096,1000,-2,1,-1.5,1.5,deCasa,ponto_a_ponto,N/A,N/A,1
2026-09-22 21:17:20,13.6391,4096,4096,1000,-2,1,-1.5,1.5,deCasa,ponto_a_ponto,N/A,N/A,1
2026-09-22 21:18:53,54.2481,8192,8192,1000,-2,1,-1.5,1.5,deCasa,ponto_a_ponto,N/A,N/A,1
2026-09-22 21:20:34,54.8314,8192,8192,1000,-2,1,-1.5,1.5,deCasa,ponto_a_ponto,N/A,N/A,1
2026-09-22 21:22:15,59.108,8192,8192,1000,-2,1,-1.5,1.5,deCasa,ponto_a_ponto,N/A,N/A,1
2026-09-22 21:28:22,213.691,16384,16384,1000,-2,1,-1.5,1.5,deCasa,ponto_a_ponto,N/A,N/A,1
2026-09-22 21:34:39,209.579,16384,16384,1000,-2,1,-1.5,1.5,deCasa,ponto_a_ponto,N/A,N/A,1
2026-09-22 21:41:25,239.08,16384,16384,1000,-2,1,-1.5,1.5,deCasa,ponto_a_ponto,N/A,N/A,1
2026-09-22 21:41:45,6.84303,4096,4096,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,ponto_a_ponto,N/A,N/A,1
2026-09-22 21:42:04,7.38299,4096,4096,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,ponto_a_ponto,N/A,N/A,1
2026-09-22 21:42:24,7.08934,4096,4096,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,ponto_a_ponto,N/A,N/A,1
2026-09-22 21:43:40,25.3999,8192,8192,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,ponto_a_ponto,N/A,N/A,1
2026-09-22 21:44:54,26.6288,8192,8192,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,ponto_a_ponto,N/A,N/A,1
2026-09-22 21:46:08,26.0061,8192,8192,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,ponto_a_ponto,N/A,N/A,1
2026-09-22 21:51:13,103.645,16384,16384,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,ponto_a_ponto,N/A,N/A,1
2026-09-22 21:56:12,108.524,16384,16384,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,ponto_a_ponto,N/A,N/A,1
2026-09-22 22:01:10,101.604,16384,16384,5000,-0.745144,-0.742144,0.130326,0.133326,deCasa,ponto_a_ponto,N/A,N/A,1
2026-09-22 22:01:23,4.28178,4096,4096,1000,-2,1,-1.5,1.5,deCasa,paralelo,static,64,4
2026-09-22 22:01:36,4.43433,4096,4096,1000,-2,1,-1.5,1.5,deCasa,paralelo,static,64,4
2026-09-22 22:01:48,4.42366,4096,4096,1000,-2,1,-1.5,1.5,deCasa,paralelo,static,64,4
2026-09-22 22:02:01,4.40567,4096,4096,1000,-2,1,-1.5,1.5,deCasa,paralelo,dynamic,1,4
2026-09-22 22:02:13,4.24038,4096,4096,1000,-2,1,-1.5,1.5,deCasa,paralelo,dynamic,1,4
2026-09-22 22:02:26,4.24145,4096,4096,1000,-2,1,-1.5,1.5,deCasa,paralelo,dynamic,1,4
2026-09-22 22:02:38,4.06629,4096,4096,1000,-2,1,-1.5,1.5,deCasa,paralelo,dynamic,64,4
2026-09-22 22:02:54,4.39679,4096,4096,1000,-2,1,-1.5,1.5,deCasa,paralelo,dynamic,64,4
2026-09-22 22:03:08,4.66385,4096,4096,1000,-2,1,-1.5,1.5,deCasa,paralelo,dynamic,64,4
2026-09-22 22:03:25,7.83107,4096,4096,1000,-2,1,-1.5,1.5,deCasa,paralelo,guided,64,4
2026-09-22 22:03:39,5.95643,4096,4096,1000,-2,1,-1.5,1.5,deCasa,paralelo,guided,64,4
2026-09-22 22:03:54,6.29914,4096,4096,1000,-2,1,-1.5,1.5,deCasa,paralelo,guided,64,4
2026-09-22 22:04:11,7.63477,4096,4096,1000,-2,1,-1.5,1.5,deCasa,paralelo,auto,0,4
2026-09-22 22:04:28,8.07299,4096,4096,1000,-2,1,-1.5,1.5,deCasa,paralelo,auto,0,4
2026-09-22 22:04:46,8.15235,4096,4096,1000,-2,1,-1.5,1.5,deCasa,paralelo,auto,0,4
2026-09-22 22:05:38,16.9317,8192,8192,1000,-2,1,-1.5,1.5,deCasa,paralelo,static,64,4
2026-09-22 22:06:32,17.8337,8192,8192,1000,-2,1,-1.5,1.5,deCasa,paralelo,static,64,4
2026-09-22 22:07:23,16.7277,8192,8192,1000,-2,1,-1.5,1.5,deCasa,paralelo,static,64,4
2026-09-22 22:08:17,15.804,8192,8192,1000,-2,1,-1.5,1.5,deCasa,paralelo,dynamic,1,4
2026-09-22 22:09:27,20.4217,8192,8192,1000,-2,1,-1.5,1.5,deCasa,paralelo,dynamic,1,4
2026-09-22 22:10:33,24.5387,8192,8192,1000,-2,1,-1.5,1.5,deCasa,paralelo,dynamic,1,4
2026-09-22 22:11:29,20.6478,8192,8192,1000,-2,1,-1.5,1.5,deCasa,paralelo,dynamic,64,4
2026-09-22 22:12:21,17.8416,8192,8192,1000,-2,1,-1.5,1.5,deCasa,paralelo,dynamic,64,4
2026-09-22 22:13:25,16.2405,8192,8192,1000,-2,1,-1.5,1.5,deCasa,paralelo,dynamic,64,4
2026-09-22 22:14:36,29.9301,8192,8192,1000,-2,1,-1.5,1.5,deCasa,paralelo,guided,64,4
2026-09-22 22:15:50,27.994,8192,8192,1000,-2,1,-1.5,1.5,deCasa,paralelo,guided,64,4
2026-09-22 22:17:01,29.6651,8192,8192,1000,-2,1,-1.5,1.5,deCasa,paralelo,guided,64,4
2026-09-22 22:18:20,34.1737,8192,8192,1000,-2,1,-1.5,1.5,deCasa,paralelo,auto,0,4
2026-09-22 22:19:30,32.8789,8192,8192,1000,-2,1,-1.5,1.5,deCasa,paralelo,auto,0,4
2026-09-22 22:20:51,36.0556,8192,8192,1000,-2,1,-1.5,1.5,deCasa,paralelo,auto,0,4
2026-09-22 22:24:58,85.073,16384,16384,1000,-2,1,-1.5,1.5,deCasa,paralelo,static,64,4
2026-09-22 22:29:19,84.9205,16384,16384,1000,-2,1,-1.5,1.5,deCasa,paralelo,static,64,4
2026-09-22 22:33:26,72.2481,16384,16384,1000,-2,1,-1.5,1.5,deCasa,paralelo,static,64,4
2026-09-22 22:37:15,69.251,16384,16384,1000,-2,1,-1.5,1.5,deCasa,paralelo,dynamic,1,4
2026-09-22 22:41:37,86.3876,16384,16384,1000,-2,1,-1.5,1.5,deCasa,paralelo,dynamic,1,4
