Scenario,Code,WIDTH,Tempo_Medio,Speedup_Medio,Eficiencia_Media,Execucoes
Visão Completa,paralelo,4096,5.623548030303031,2.3292239685140923,0.7549513945787663,66
Visão Completa,paralelo,8192,21.455924999999997,2.409416700309164,0.8569244369584322,48
Visão Completa,paralelo,16384,77.92136764705883,2.7028473116805034,0.8128292106617541,34
Visão Completa,paralelo_collapse,4096,5.087248235294118,2.628945204397913,0.7159446388893871,34
Visão Completa,paralelo_collapse,8192,16.591183333333333,3.1395476155799646,0.7848869038949912,24
Visão Completa,paralelo_collapse,16384,63.95484583333333,3.25228583382192,0.81307145845548,24
Visão Completa,ponto_a_ponto,4096,12.35407090909091,1.056463953863418,1.056463953863418,11
Visão Completa,ponto_a_ponto,8192,49.89046666666667,1.0161962740110029,1.0161962740110029,6
Visão Completa,ponto_a_ponto,16384,197.81283333333332,1.0151850241747489,1.0151850241747489,6
Visão Completa,sequencial,4096,8.44710875,1.4793985523017281,1.4793985523017281,8
Visão Completa,sequencial,8192,26.529666666666667,1.9420054152324802,1.9420054152324802,3
Visão Completa,sequencial,16384,92.2676,2.1439059937332403,2.1439059937332403,3
Zoom (Seahorse),paralelo,4096,1.6187648148148146,3.7320817106140356,0.9330204276535089,27
Zoom (Seahorse),paralelo,8192,5.90713375,3.916796003672959,0.9791990009182397,24
Zoom (Seahorse),paralelo,16384,23.697720833333335,3.9263735732496605,0.9815933933124151,24
Zoom (Seahorse),paralelo_collapse,4096,1.6614224999999998,3.664627260237006,0.9161568150592515,24
Zoom (Seahorse),paralelo_collapse,8192,6.2292966666666665,3.7427580930073017,0.9356895232518254,24
Zoom (Seahorse),paralelo_collapse,16384,24.287891666666667,3.8359739216796105,0.9589934804199026,24
Zoom (Seahorse),ponto_a_ponto,4096,5.979731428571428,1.0267470738212643,1.0267470738212643,7
Zoom (Seahorse),ponto_a_ponto,8192,23.073800000000002,1.0166517787150129,1.0166517787150129,6
Zoom (Seahorse),ponto_a_ponto,16384,92.19995,1.0187296070057357,1.0187296070057357,6
Zoom (Seahorse),sequencial,4096,3.1166266666666664,1.9187692997829815,1.9187692997829815,3
Zoom (Seahorse),sequencial,8192,11.794066666666666,1.9563954544146427,1.9563954544146427,3
Zoom (Seahorse),sequencial,16384,47.44636666666667,1.9432503184526604,1.9432503184526604,3
