DataHora,TempoGasto,WIDTH,HEIGHT,MAX_ITER,RE_MIN,RE_MAX,IM_MIN,IM_MAX,Machine,Code,Schedule,ChunkSize,Threads
2026-09-22 20:57:37,6.92406,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,guided,64.0,4
2026-09-22 20:58:01,7.97647,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,guided,1024.0,4
2026-09-22 20:58:48,6.10797,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,128.0,4
2026-09-22 20:59:43,5.49678,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,4.0,4
2026-09-22 21:01:15,6.26687,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,64.0,4
2026-09-22 21:01:36,5.0773,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,64.0,4
2026-09-22 21:01:57,5.20781,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,1.0,4
2026-09-22 21:02:20,5.23829,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,1.0,4
2026-09-22 21:02:53,5.64344,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,1.0,4
2026-09-22 21:04:28,20.4656,8192,8192,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,1.0,4
2026-09-22 21:05:47,20.7029,8192,8192,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,1.0,4
2026-09-22 21:06:56,20.2291,8192,8192,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,1.0,4
2026-09-22 21:11:42,84.4999,16384,16384,1000,-2.0,1.0,-1.5,1.5,deCasa,paralelo,dynamic,1.0,4
2026-09-22 21:16:33,14.068,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,ponto_a_ponto,,,1
2026-09-22 21:16:56,13.6071,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,ponto_a_ponto,,,1
2026-09-22 21:17:20,13.6391,4096,4096,1000,-2.0,1.0,-1.5,1.5,deCasa,ponto_a_ponto,,,1
2026-09-22 21:18:53,54.2481,8192,8192,1000,-2.0,1.0,-1.5,1.5,deCasa,ponto_a_ponto,,,1
2026-09-22 21:20:34,54.8314,8192,8192,1000,-2.0,1.0,-1.5,1.5,deCasa,ponto_a_ponto,,,1
2026-09-22 21:22:15,59.108,8192,8192,1000,-2.0,1.0,-1.5,1.5,deCasa,ponto_a_ponto,,,1
