Scenario,WIDTH,Code,Schedule_Chunk,Tempo_Medio,Tempo_Min,Tempo_Max,Tempo_Std,Speedup_Medio,Eficiencia_Media,Execucoes
Visão Completa,4096,paralelo,dynamic (128),6.10797,6.10797,6.10797,,2.0226148637093684,0.5056537159273421,1
Visão Completa,4096,paralelo,auto (0),6.772575,5.4857,8.15235,1.3090432145158544,1.8825130037358109,0.7469302738484599,6
Visão Completa,4096,paralelo_collapse,static (1024),7.246878000000001,7.12612,7.43282,0.123631508200782,1.7051372456244587,0.5108551269689373,5
Visão Completa,4096,paralelo,guided (0),8.07205,8.07205,8.07205,,1.5304750229608226,0.38261875574020565,1
Visão Completa,8192,paralelo_collapse,dynamic (1024),12.004666666666665,11.8949,12.0902,0.09987974435957106,4.156115048780762,1.0390287621951906,3
Visão Completa,8192,paralelo_collapse,dynamic (64),13.267733333333334,13.0874,13.4202,0.16814093295010926,3.7606895123222834,0.9401723780805709,3
Visão Completa,8192,paralelo_collapse,static (64),14.785533333333333,14.0562,15.2523,0.6398200866910418,3.3785896791568955,0.8446474197892239,3
Visão Completa,8192,paralelo_collapse,dynamic (1),15.016766666666667,14.911,15.0844,0.0927766313967768,3.322402311638713,0.8306005779096782,3
Visão Completa,8192,paralelo_collapse,static (1024),15.205166666666665,15.151,15.2831,0.06918268087703201,3.2811974314957184,0.8202993578739296,3
Visão Completa,8192,paralelo,dynamic (64),18.2433,16.2405,20.6478,2.230940494500022,2.7615130579077345,0.6903782644769336,3
Visão Completa,8192,paralelo,dynamic (1024),19.141116666666665,15.8315,21.411,2.5421750084655192,2.6463922445731884,0.9531536511726615,6
Visão Completa,8192,paralelo,static (1024),19.235666666666667,16.1553,21.5326,2.532093262632058,2.6324185208702953,0.9483289434595751,6
Visão Completa,8192,paralelo,static (64),19.377566666666667,16.7277,21.7784,2.458668486532227,2.6099207319552318,0.9413513483475894,6
Visão Completa,8192,paralelo_collapse,guided (64),19.816633333333332,19.7472,19.9159,0.08821815761697467,2.5176387769601476,0.6294096942400369,3
Visão Completa,8192,paralelo_collapse,guided (1024),20.5211,19.4151,22.6203,1.8188351876956876,2.4433550672253266,0.6108387668063316,3
Visão Completa,8192,paralelo,guided (1024),20.524933333333333,19.0436,21.3954,1.0398832043391526,2.436057170759959,0.9007589534313479,6
Visão Completa,8192,paralelo,dynamic (1),20.69851111111111,15.804,24.5387,2.248098541792844,2.4387871269958,0.8042034024282927,9
Visão Completa,8192,paralelo_collapse,auto (0),22.111866666666668,21.8874,22.2379,0.1948830504003199,2.2563930970598722,0.5640982742649681,3
Visão Completa,8192,paralelo,guided (64),25.314116666666667,21.4057,29.9301,4.304364447124179,2.019080386163192,0.7957537911634702,6
Visão Completa,8192,paralelo,auto (0),27.884583333333335,21.3486,36.0556,7.175454927296711,1.8925273287038802,0.7645545722119076,6
Visão Completa,16384,paralelo_collapse,dynamic (1024),47.2272,47.2117,47.2512,0.02107723890835889,4.1885366821269265,1.0471341705317316,3
Visão Completa,16384,paralelo,dynamic (1024),48.69423333333333,47.2447,50.1154,1.4355602123677458,4.064704119141029,1.0161760297852573,3
Visão Completa,16384,paralelo_collapse,static (1024),50.2868,50.0201,50.5375,0.25907082043333163,3.933762643182062,0.9834406607955155,3
Visão Completa,16384,paralelo_collapse,dynamic (64),53.33083333333334,52.1699,53.9265,1.005512652000624,3.7100533981421666,0.9275133495355417,3
Visão Completa,16384,paralelo_collapse,static (64),54.5375,53.3349,55.5009,1.1026338830273639,3.628092584970261,0.9070231462425653,3
Visão Completa,16384,paralelo,dynamic (64),59.165600000000005,54.0958,62.6384,4.489633664342785,3.3567428930066647,0.8391857232516662,3
Visão Completa,16384,paralelo_collapse,dynamic (1),59.5624,58.2333,60.4443,1.1713757424498763,3.3219673638626994,0.8304918409656749,3
Visão Completa,16384,paralelo,static (1024),69.15093333333333,52.2296,84.8489,17.18589934797323,3.0161198699594185,1.0455328720380652,6
Visão Completa,16384,paralelo,guided (1024),74.4436,73.8262,75.5845,0.9891632372869564,2.6575278986711415,0.6643819746677854,3
Visão Completa,16384,paralelo_collapse,guided (1024),78.48656666666666,76.8418,81.4156,2.5430134217760862,2.5220734465533514,0.6305183616383379,3
Visão Completa,16384,paralelo_collapse,guided (64),80.30263333333333,79.5,80.8593,0.7122491301035984,2.4634715255527264,0.6158678813881816,3
Visão Completa,16384,paralelo,guided (64),81.94316666666667,77.2982,86.5276,4.614997757673716,2.419151362942457,0.6047878407356142,3
Visão Completa,16384,paralelo,static (64),82.88651666666667,72.2481,85.172,5.212602862070607,2.395347637031902,0.8896501846617854,6
Visão Completa,16384,paralelo,auto (0),85.83693333333333,84.5648,88.2503,2.0910613820099386,2.3054183869591216,0.5763545967397804,3
Visão Completa,16384,paralelo_collapse,auto (0),87.90483333333333,87.6104,88.2762,0.3395017869368826,2.2503290261851636,0.5625822565462909,3
Visão Completa,16384,paralelo,dynamic (1),98.12160000000002,69.251,144.476,28.507406422834514,2.145338510432564,0.7032051895371749,7
Zoom (Seahorse),4096,paralelo_collapse,dynamic (1024),1.3812533333333334,1.33033,1.46353,0.07192241398432996,4.336836638191948,1.084209159547987,3
Zoom (Seahorse),4096,paralelo_collapse,guided (1024),1.3956766666666667,1.34088,1.48823,0.08060508689489339,4.293723127025366,1.0734307817563415,3
Zoom (Seahorse),4096,paralelo,static (64),1.4979033333333334,1.48403,1.50771,0.012352689315826578,3.992249305186386,0.9980623262965965,3
Zoom (Seahorse),4096,paralelo,dynamic (1),1.534685,1.40416,1.89624,0.24114454330684465,3.9597862850812424,0.9899465712703106,4
Zoom (Seahorse),4096,paralelo_collapse,static (1024),1.5502566666666666,1.46444,1.65798,0.09861216676117263,3.8674886780688134,0.9668721695172033,3
